start,end,days
5,8232,2831
39,8261,2837
4,8231,2862
15,8241,2884
17,8250,2901
17,8250,2916
5,8232,2925
15,8241,2941
9,8235,2964
13,8239,2974
2,8229,2995
17,8250,3018
4,8231,3033
15,8241,3051
15,8241,3084
17,8250,3109
4,8231,3114
40,8266,3124
4,8231,3156
2,8229,3183
41,8245,3227
17,8250,3230
42,8267,3259
43,8268,3283
44,8269,3315
2,8229,3332
29,8256,3397
17,8250,3423
45,8270,3505
13,8239,3516
43,8268,3521
17,8250,3560
35,8262,3592
4,8231,3730
46,8250,3735
17,8250,3768
4,8231,3769
4,8231,3821
17,8250,3836
17,8250,3852
4,8231,3856
7,8234,3875
4,8231,3929
47,8271,3951
17,8250,3995
17,8250,4031
4,8231,4031
17,8250,4059
4,8231,4079
2,8229,4189
7,8234,4192
4,8231,4199
4,8231,4243
2,8229,4244
13,8239,4276
4,8231,4288
2,8229,4305
4,8231,4335
48,8272,4400
49,8273,4409
4,8231,4412
49,8273,4433
17,8250,4443
4,8231,4486
50,8274,4488
51,8275,4498
17,8250,4506
48,8272,4509
4,8231,4534
2,8229,4563
51,8275,4569
4,8231,4582
17,8250,4585
2,8229,4621
13,8239,4631
49,8273,4666
52,8276,4668
53,8250,4670
4,8231,4680
52,8276,4710
54,8277,4744
55,8278,4752
17,8250,4756
49,8273,4775
56,8279,4781
4,8231,4803
2,8229,4813
17,8250,4814
4,8231,4854
49,8273,4878
4,8231,4894
17,8250,4900
57,8280,4910
17,8250,4926
17,8250,4969
49,8273,4981
9,8235,5008
48,8272,5038
58,8245,5057
17,8250,5067
59,8281,5088
2,8229,5089
17,8250,5102
49,8273,5149
2,8229,5170
4,8231,5181
4,8231,5219
2,8229,5259
60,8282,5262
49,8273,5269
49,8273,5358
19,8245,5359
49,8273,5406
4,8231,5437
2,8229,5444
60,8282,5446
61,8283,5450
62,8284,5499
2,8229,5565
60,8282,5571
62,8284,5647
18,8285,5671
62,8284,5706
2,8229,5713
23,8286,5722
49,8273,5727
60,8282,5799
58,8245,5801
2,8229,5808
63,8287,5856
49,8273,5905
2,8229,5929
64,8241,5975
60,8282,5986
65,8288,6054
65,8288,6085
4,8231,6097
66,8289,6113
67,8290,6124
4,8231,6150
2,8229,6168
2,8229,6235
68,8237,6255
69,8250,6345
70,8291,6360
57,8280,6438
60,8282,6439
63,8287,6444
71,8292,6449
63,8287,6477
2,8229,6520
72,8282,6526
60,8282,6586
4,8231,6603
63,8287,6616
60,8282,6671
60,8282,6707
2,8229,6728
60,8282,6763
2,8229,6770
73,8293,6793
2,8229,6816
4,8231,6827
2,8229,6865
4,8231,6868
2,8229,6936
9,8294,6937
74,8295,6938
2,8229,7007
75,8296,7011
4,8231,7040
74,8267,7101
76,8297,7102
74,8298,7117
74,8235,7129
76,8297,7199
60,8282,7212
4,8231,7224
35,8262,7235
76,8297,7236
2,8229,7245
35,8262,7252
77,8290,7297
75,8296,7304
60,8282,7314
2,8229,7339
78,8286,7340
79,8246,7373
4,8231,7401
76,8297,7408
80,8269,7411
75,8296,7418
2,8229,7434
75,8296,7445
78,8286,7446
4,8231,7551
81,8299,7565
2,8229,7590
78,8286,7610
60,8282,7644
76,8297,7696
60,8282,7707
2,8229,7732
60,8282,7764
60,8282,7788
4,8231,7811
4,8231,7848
60,8282,7872
4,8231,7882
2,8229,7943
57,8280,7949
4,8231,7999
4,8231,8031
4,8231,8080
76,8297,8094
51,8300,8153
60,8282,8158
82,8257,8158
83,8262,8158
76,8297,8183
60,8282,8217
84,8301,8244
84,8301,8284
60,8282,8337
85,8262,8366
76,8297,8394
85,8262,8398
76,8297,8431
2,8229,8588
86,8302,8620
51,8300,8728
76,8297,8810
87,8289,8826
78,8286,8908
76,8297,8914
88,8303,8943
82,8257,8981
76,8297,8989
89,8304,9001
82,8257,9018
89,8304,9062
76,8297,9113
51,8300,9119
66,8289,9128
76,8297,9142
66,8289,9151
82,8257,9173
90,8305,9235
91,8306,9241
89,8304,9249
92,8261,9260
93,8307,9270
76,8297,9271
77,8290,9299
82,8257,9300
94,8308,9308
60,8282,9313
92,8261,9342
76,8297,9357
76,8297,9378
60,8282,9385
89,8304,9397
87,8289,9440
76,8297,9463
91,8306,9501
76,8297,9504
89,8304,9568
4,8231,9577
91,8306,9630
76,8297,9695
89,8304,9696
95,8309,9701
91,8306,9729
82,8257,9778
91,8306,9785
76,8297,9831
96,8294,9841
96,8294,9929
23,8310,9935
77,8290,9944
91,8306,9967
76,8297,10021
67,8290,10031
97,8311,10035
91,8306,10087
67,8290,10168
76,8297,10185
89,8304,10186
98,8312,10298
60,8282,10301
99,8313,10349
4,8231,10381
89,8304,10393
96,8294,10394
67,8290,10394
99,8313,10432
96,8294,10450
89,8304,10490
76,8297,10492
60,8282,10498
4,8231,10557
91,8306,10568
4,8231,10598
94,8308,10615
76,8297,10620
4,8231,10662
4,8231,10721
89,8304,10732
4,8231,10770
76,8297,10832
4,8231,10890
67,8290,10893
69,8309,10919
60,8282,10940
100,8314,10961
100,8314,10988
4,8231,10990
76,8297,11007
97,8311,11052
89,8304,11053
60,8282,11056
76,8297,11063
76,8297,11086
4,8231,11147
101,8315,11172
102,8316,11181
89,8304,11236
102,8316,11293
4,8231,11300
89,8304,11302
60,8282,11353
4,8231,11357
4,8231,11384
89,8304,11433
4,8231,11438
89,8304,11456
60,8282,11467
4,8231,11494
51,8300,11496
89,8304,11521
4,8231,11545
103,8307,11579
89,8304,11582
51,8300,11602
4,8231,11637
89,8304,11664
4,8231,11706
104,8317,11711
105,8318,11711
103,8307,11720
105,8318,11721
89,8304,11749
101,8315,11779
89,8304,11806
106,8319,11863
76,8297,11893
89,8304,11894
60,8282,11908
107,8303,11921
76,8297,11923
89,8304,11929
108,8320,11941
4,8231,11986
89,8304,11995
81,8321,11997
4,8231,12019
76,8297,12110
76,8297,12177
109,8322,12186
4,8231,12192
108,8320,12200
4,8231,12220
103,8307,12230
89,8304,12271
110,8253,12416
4,8231,12423
76,8297,12466
76,8297,12518
4,8231,12519
107,8303,12603
89,8304,12611
4,8231,12666
111,8303,12682
19,8245,12695
4,8231,12712
19,8245,12717
112,8323,12753
103,8307,12773
105,8318,12808
18,8324,12818
112,8323,12837
4,8231,12841
19,8245,12861
4,8231,12896
89,8304,12959
76,8297,12964
109,8322,12990
107,8303,12995
60,8282,13010
77,8290,13054
77,8290,13092
76,8297,13128
76,8297,13254
113,8298,13259
87,8285,13280
107,8303,13281
76,8297,13290
89,8304,13304
76,8297,13392
107,8303,13467
114,8290,13488
115,8325,13495
76,8297,13499
19,8245,13518
89,8304,13557
4,8231,13620
15,8241,13630
4,8231,13702
89,8304,13742
89,8304,13919
89,8304,13993
4,8231,14042
15,8241,14057
116,8326,14098
4,8231,14100
117,8284,14116
89,8304,14232
77,8290,14261
118,8327,14273
77,8290,14300
118,8327,14341
89,8304,14386
107,8303,14451
119,8328,14479
4,8231,14496
89,8304,14535
79,8329,14558
79,8329,14585
107,8303,14602
89,8304,14614
86,8302,14646
79,8329,14661
4,8231,14765
28,8255,14768
120,8330,14779
103,8307,14814
117,8284,14842
28,8255,14862
89,8304,14873
103,8307,14884
118,8327,14919
7,8234,14973
68,8322,15000
28,8255,15012
89,8304,15041
89,8304,15179
103,8307,15192
89,8304,15233
103,8307,15286
103,8307,15314
103,8307,15347
119,8328,15382
103,8307,15386
89,8304,15449
51,8300,15474
67,8331,15489
121,8262,15534
89,8304,15560
67,8331,15583
122,8298,15586
119,8328,15605
4,8231,15605
123,8246,15612
13,8239,15661
67,8331,15664
51,8300,15680
124,8332,15694
125,8333,15722
67,8331,15738
125,8333,15742
119,8328,15752
60,8282,15756
89,8304,15796
126,8326,15798
67,8331,15807
124,8332,15811
68,8296,15846
89,8304,15874
127,8334,15884
67,8290,15923
67,8290,15955
13,8239,16021
4,8231,16046
128,8335,16150
73,8336,16173
129,8303,16225
4,8231,16257
125,8333,16260
130,8337,16271
117,8284,16299
125,8333,16323
125,8333,16360
77,8290,16367
131,8303,16407
4,8231,16419
60,8282,16421
132,8338,16423
77,8290,16443
125,8333,16473
40,8339,16524
4,8231,16539
133,8340,16617
134,8244,16662
125,8333,16667
103,8307,16720
51,8300,16723
4,8231,16733
135,8341,16733
125,8333,16775
119,8328,16793
18,8342,16815
125,8333,16843
23,8342,16891
125,8333,16903
135,8341,16920
119,8328,16928
4,8231,16963
60,8282,16976
136,8279,16979
125,8333,17011
136,8279,17025
119,8328,17043
135,8341,17087
4,8231,17109
125,8333,17127
103,8307,17137
135,8341,17137
137,8343,17164
138,8342,17200
4,8231,17214
139,8284,17216
119,8328,17218
128,8335,17233
140,8283,17252
51,8300,17260
141,8342,17272
142,8344,17282
125,8333,17325
51,8300,17345
60,8282,17361
4,8231,17378
119,8328,17394
51,8300,17409
77,8290,17436
96,8337,17436
51,8300,17436
4,8231,17444
77,8290,17466
143,8337,17474
25,8252,17478
143,8337,17502
4,8231,17510
103,8307,17524
138,8342,17542
103,8307,17548
25,8252,17567
4,8231,17594
138,8342,17602
144,8342,17615
13,8239,17638
4,8231,17640
103,8307,17653
4,8231,17735
96,8262,17758
145,8345,17771
60,8282,17780
60,8282,17835
146,8284,17857
4,8231,17868
146,8284,17875
87,8285,17901
128,8335,17902
13,8239,17921
147,8279,17923
148,8346,17971
147,8279,17973
149,8342,17989
150,8284,17992
150,8284,18045
146,8284,18112
146,8284,18149
137,8343,18192
150,8284,18213
121,8262,18217
141,8342,18225
4,8231,18269
141,8342,18305
4,8231,18324
151,8316,18350
141,8342,18350
119,8328,18354
79,8329,18367
146,8284,18408
13,8239,18427
4,8231,18506
152,8297,18518
153,8262,18548
4,8231,18644
67,8290,18655
69,8300,18680
7,8234,18706
103,8307,18710
103,8307,18754
13,8239,18764
154,8347,18802
103,8307,18814
155,8262,18819
156,8348,18834
4,8231,18839
67,8290,18878
157,8347,18883
103,8307,18886
152,8297,18923
119,8328,18959
103,8307,18971
13,8239,19044
152,8297,19056
158,8292,19096
159,8349,19123
152,8297,19125
137,8350,19153
152,8297,19174
82,8257,19232
82,8257,19255
4,8231,19265
107,8303,19273
160,8351,19283
4,8231,19418
160,8351,19453
4,8231,19506
103,8307,19508
77,8290,19518
152,8297,19541
107,8303,19548
103,8307,19606
60,8282,19607
85,8262,19640
119,8328,19673
4,8231,19694
161,8317,19705
4,8231,19727
103,8307,19734
158,8292,19736
13,8239,19738
4,8231,19779
158,8292,19810
64,8352,19834
162,8315,19843
158,8292,19850
162,8315,19905
60,8282,19918
103,8307,20050
163,8353,20063
13,8239,20077
4,8231,20086
164,8284,20157
165,8354,20166
165,8354,20190
4,8231,20224
166,8262,20233
103,8307,20343
4,8231,20348
103,8307,20397
4,8231,20486
167,8355,20503
107,8303,20512
160,8351,20527
4,8231,20558
168,8356,20570
169,8357,20685
4,8231,20722
170,8358,20751
4,8231,20780
13,8239,20796
160,8351,20802
69,8245,20821
171,8261,20829
135,8341,20870
71,8292,20871
172,8250,20977
173,8359,20985
4,8231,20998
77,8328,21014
103,8307,21017
158,8292,21127
172,8250,21129
4,8231,21141
103,8307,21204
171,8261,21216
174,8360,21220
4,8231,21259
175,8252,21275
103,8307,21309
107,8303,21341
4,8231,21344
158,8292,21383
103,8307,21388
152,8297,21407
158,8292,21423
176,8361,21438
13,8239,21441
113,8298,21454
177,8303,21479
158,8292,21487
4,8231,21488
148,8346,21550
158,8292,21557
107,8303,21579
160,8351,21589
158,8292,21611
4,8231,21616
160,8351,21654
113,8298,21682
4,8231,21732
13,8239,21750
113,8298,21763
152,8297,21837
172,8250,21846
178,8362,21900
179,8363,21905
4,8231,21988
4,8231,22044
180,8364,22044
158,8292,22089
4,8231,22090
125,8365,22095
13,8239,22110
4,8231,22164
181,8366,22166
113,8298,22171
182,8318,22183
107,8303,22225
124,8332,22261
113,8298,22276
4,8231,22332
135,8341,22346
135,8341,22374
158,8292,22405
183,8367,22405
124,8332,22460
4,8231,22462
158,8292,22465
4,8231,22569
113,8298,22586
152,8297,22599
184,8368,22608
124,8332,22611
185,8369,22620
180,8364,22656
158,8292,22658
124,8332,22680
184,8368,22718
113,8298,22739
180,8364,22785
184,8368,22825
107,8303,22833
158,8292,22932
135,8341,22994
160,8351,23025
186,8370,23037
186,8370,23103
113,8298,23152
186,8370,23206
113,8298,23224
152,8297,23242
107,8303,23252
113,8298,23258
186,8370,23262
187,8371,23296
188,8262,23333
152,8297,23335
64,8372,23367
135,8341,23511
135,8341,23539
189,8342,23539
135,8341,23569
190,8274,23578
180,8364,23609
135,8341,23626
189,8342,23628
135,8341,23645
152,8297,23749
190,8274,23794
113,8298,23832
152,8297,23960
77,8290,23980
191,8265,24015
77,8290,24050
189,8342,24080
77,8290,24086
152,8297,24090
192,8236,24122
76,8297,24158
113,8298,24249
183,8367,24291
113,8298,24324
158,8292,24327
193,8373,24339
190,8274,24421
183,8367,24446
194,8374,24696
195,8243,24709
186,8370,24765
196,8375,24767
195,8243,24820
192,8236,24870
186,8370,24881
96,8294,24902
192,8236,24917
195,8243,24920
186,8370,24970
77,8290,25031
197,8261,25066
198,8376,25092
199,8279,25114
200,8370,25192
201,8377,25266
202,8262,25303
203,8347,25330
25,8252,25344
197,8261,25364
107,8303,25549
199,8342,25582
197,8261,25585
186,8370,25598
200,8370,25653
204,8260,25831
192,8236,25852
170,8378,25884
205,8379,25897
158,8292,25953
204,8260,25975
205,8379,26008
206,8380,26071
207,8381,26103
204,8260,26113
107,8303,26223
204,8260,26236
205,8379,26280
208,8295,26297
205,8379,26329
25,8252,26359
209,8382,26367
210,8383,26485
211,8384,26515
196,8385,26610
212,8279,26625
212,8279,26644
211,8384,26695
213,8386,26836
214,8367,26915
215,8387,26951
216,8388,26988
205,8379,27198
62,8284,27331
211,8384,27366
34,8261,27443
213,8386,27453
217,8389,27487
218,8289,27512
219,8390,27517
217,8389,27522
213,8386,27551
220,8391,27804
221,8392,27878
222,8303,27898
205,8379,27906
217,8389,28042
183,8367,28082
223,8393,28187
60,8282,28227
221,8392,28228
224,8388,28260
217,8389,28265
183,8367,28393
225,8394,28447
7,8234,28452
10,8236,28469
183,8367,28481
77,8290,28547
183,8367,28565
195,8243,28576
226,8395,28576
103,8307,28581
183,8367,28626
16,8242,28656
183,8367,28711
103,8307,28770
205,8379,28779
183,8367,28816
227,8396,28864
183,8367,28911
183,8367,28935
103,8307,28973
205,8379,28995
103,8307,29146
9,8294,29158
228,8321,29216
229,8319,29221
229,8319,29339
103,8307,29339
7,8234,29350
228,8321,29362
204,8260,29388
77,8343,29393
217,8389,29416
229,8319,29426
103,8307,29453
180,8364,29467
230,8287,29485
23,8274,29544
228,8321,29557
217,8389,29558
231,8397,29600
9,8294,29640
103,8307,29647
77,8343,29743
221,8262,29757
213,8386,29759
103,8307,29761
229,8319,29776
229,8319,29796
221,8262,29796
77,8343,29827
228,8321,29848
180,8364,29872
229,8319,29914
103,8307,29923
232,8286,29940
229,8319,29971
65,8288,29976
215,8387,29983
103,8307,30037
215,8387,30051
76,8398,30103
16,8242,30132
223,8393,30152
233,8399,30198
103,8307,30222
234,8401,30255
234,8400,30255
10,8236,30266
10,8236,30307
195,8243,30312
10,8236,30327
77,8343,30336
215,8387,30359
103,8307,30365
77,8290,30476
103,8307,30484
235,8402,30513
41,8245,30523
103,8307,30558
18,8403,30559
206,8404,30634
236,8236,30676
103,8307,30684
215,8387,30729
213,8386,30779
235,8402,30788
103,8307,30789
237,8405,30835
103,8307,30873
103,8307,30912
238,8406,30944
52,8407,30956
215,8387,30982
52,8407,31003
103,8307,31023
205,8379,31024
206,8408,31024
215,8387,31035
206,8408,31062
206,8408,31137
103,8307,31140
103,8307,31177
239,8316,31189
7,8234,31209
7,8234,31306
223,8393,31408
103,8307,31421
169,8409,31457
195,8243,31504
215,8387,31523
103,8307,31556
240,8410,31566
215,8387,31569
206,8408,31575
241,8411,31595
206,8408,31606
103,8307,31662
242,8303,31671
41,8298,31699
241,8411,31753
103,8307,31809
103,8307,31926
205,8379,32006
223,8393,32013
76,8297,32017
206,8408,32035
233,8399,32061
103,8307,32068
206,8408,32077
238,8406,32090
25,8252,32103
206,8408,32123
103,8307,32154
243,8412,32178
223,8393,32184
238,8406,32222
244,8377,32245
211,8384,32292
41,8379,32298
238,8406,32314
245,8334,32314
103,8307,32320
206,8408,32331
246,8413,32343
76,8297,32351
247,8248,32355
223,8393,32366
245,8334,32397
206,8408,32408
76,8297,32409
233,8399,32440
206,8408,32453
246,8413,32464
103,8307,32474
103,8307,32523
77,8328,32540
206,8408,32554
238,8406,32563
211,8384,32653
234,8340,32676
211,8384,32710
234,8236,32719
18,8375,32798
234,8386,32802
103,8307,32815
206,8408,32837
238,8406,32887
103,8307,32897
238,8406,32935
103,8307,32939
233,8399,32957
89,8304,33005
103,8307,33012
7,8234,33027
103,8307,33073
248,8414,33083
238,8406,33119
103,8307,33163
241,8411,33182
238,8406,33187
77,8328,33205
233,8399,33225
206,8408,33225
238,8406,33242
41,8415,33282
103,8307,33286
241,8411,33287
238,8406,33298
206,8408,33307
238,8406,33340
238,8406,33356
221,8262,33412
103,8307,33415
103,8307,33448
234,8292,33455
249,8416,33496
25,8252,33548
103,8307,33579
103,8307,33624
206,8408,33640
250,8278,33644
233,8399,33650
103,8307,33657
241,8411,33677
7,8234,33715
67,8410,33727
251,8417,33742
103,8307,33745
252,8385,33752
253,8418,33754
67,8410,33808
25,8252,33813
251,8417,33820
253,8418,33863
254,8419,33876
238,8406,33888
103,8307,33928
67,8410,33935
103,8307,33952
211,8384,33969
221,8392,33983
67,8410,34002
25,8252,34008
103,8307,34016
238,8406,34126
241,8411,34197
206,8408,34200
67,8410,34237
211,8384,34243
67,8410,34252
238,8406,34256
205,8379,34259
206,8408,34277
205,8379,34310
183,8367,34316
211,8384,34368
255,8420,34443
235,8355,34448
118,8327,34451
235,8355,34475
118,8327,34488
235,8355,34488
256,8236,34497
206,8408,34497
234,8421,34515
211,8384,34529
255,8420,34567
206,8408,34587
257,8422,34620
223,8393,34639
223,8393,34650
257,8422,34668
23,8243,34669
238,8406,34677
223,8393,34711
231,8397,34712
25,8252,34728
241,8411,34731
238,8406,34746
205,8379,34782
258,8423,34798
258,8423,34811
206,8408,34838
259,8424,34848
238,8406,34873
260,8425,34982
261,8312,35003
211,8384,35017
169,8409,35137
40,8426,35181
41,8427,35204
40,8426,35208
169,8409,35227
223,8393,35253
205,8379,35287
257,8422,35294
259,8424,35299
41,8428,35300
206,8408,35318
205,8379,35334
241,8411,35353
234,8406,35445
257,8422,35630
41,8297,35679
262,8424,35683
238,8406,35768
257,8422,35769
234,8429,35805
238,8406,35844
215,8387,35868
241,8411,35880
7,8234,35947
263,8303,35967
257,8422,35980
241,8411,35982
241,8411,36015
215,8387,36019
25,8252,36026
215,8387,36080
264,8371,36102
234,8406,36129
257,8422,36199
205,8379,36254
238,8406,36270
41,8406,36340
265,8430,36395
180,8364,36451
7,8234,36550
200,8431,36684
205,8379,36761
266,8267,36775
205,8379,36843
169,8409,36930
238,8406,36971
267,8355,37000
200,8431,37030
18,8319,37053
223,8393,37055
268,8413,37072
269,8432,37093
205,8379,37095
267,8355,37160
238,8406,37163
267,8355,37186
205,8379,37206
270,8312,37212
267,8355,37223
205,8379,37233
238,8406,37325
238,8406,37381
271,8433,37400
267,8355,37604
241,8411,37606
267,8355,37677
267,8355,37724
272,8319,37764
267,8355,37770
200,8390,37781
273,8332,37798
74,8434,37801
238,8406,37836
274,8400,37854
274,8400,37880
275,8366,37884
200,8390,37885
267,8355,37891
238,8406,37907
267,8355,37921
200,8390,37931
274,8400,37937
74,8435,37962
74,8405,37981
223,8393,38075
276,8436,38084
223,8393,38159
238,8406,38183
172,8250,38280
238,8406,38376
265,8430,38379
238,8406,38470
277,8434,38487
238,8406,38523
278,8319,38529
277,8434,38594
279,8437,38625
277,8434,38641
277,8434,38662
13,8239,38693
277,8434,38701
279,8437,38708
277,8434,38746
200,8390,38800
200,8390,38857
277,8434,39004
277,8434,39034
277,8434,39056
219,8390,39068
274,8400,39117
277,8434,39143
279,8438,39248
279,8438,39270
280,8368,39308
281,8428,39318
277,8434,39438
281,8428,39443
279,8438,39447
281,8428,39483
274,8400,39519
198,8376,39736
226,8395,39756
226,8395,39873
277,8434,39882
107,8303,39909
277,8434,39959
278,8319,40011
255,8356,40065
18,8439,40112
221,8262,40150
282,8296,40160
274,8400,40181
69,8351,40291
198,8376,40305
282,8296,40388
283,8247,40430
180,8440,40458
284,8441,40466
169,8409,40532
241,8411,40542
285,8351,40550
286,8438,40563
107,8303,40568
287,8309,40600
37,8373,40603
37,8373,40818
206,8408,40836
206,8408,40929
243,8373,40971
219,8390,41037
255,8356,41060
219,8390,41078
206,8404,41116
219,8390,41123
288,8287,41166
289,8442,41176
211,8384,41186
205,8379,41193
290,8443,41237
274,8400,41266
274,8400,41303
270,8312,41317
211,8384,41366
291,8444,41395
219,8390,41434
292,8305,41464
291,8444,41468
219,8390,41496
293,8368,41531
294,8445,41594
288,8287,41610
241,8411,41665
96,8294,41678
295,8446,41695
296,8388,41724
18,8447,41786
205,8379,41814
211,8384,41841
211,8384,41869
241,8411,41894
206,8404,41900
297,8303,41911
298,8274,42003
297,8303,42003
206,8408,42009
206,8408,42041
298,8274,42060
219,8390,42069
40,8426,42079
297,8303,42083
241,8411,42112
40,8426,42120
274,8400,42136
289,8442,42151
291,8444,42163
285,8248,42195
294,8445,42201
299,8284,42234
300,8378,42235
295,8446,42259
293,8368,42282
206,8408,42296
206,8408,42339
291,8444,42444
289,8442,42479
289,8442,42516
241,8411,42576
301,8303,42585
289,8442,42604
206,8408,42611
302,8448,42617
303,8449,42619
304,8386,42628
289,8442,42659
198,8376,42677
241,8411,42683
289,8442,42691
302,8448,42693
206,8408,42760
291,8444,42773
305,8450,42776
198,8376,42816
306,8369,42918
301,8303,42949
304,8451,43023
206,8408,43056
289,8442,43063
206,8408,43088
206,8408,43117
289,8442,43120
206,8408,43152
295,8446,43176
307,8429,43184
297,8303,43197
206,8408,43216
206,8408,43235
297,8303,43271
307,8429,43299
241,8411,43303
306,8369,43303
307,8429,43331
100,8314,43377
308,8263,43382
309,8452,43399
100,8314,43407
241,8411,43449
306,8369,43449
310,8453,43499
231,8397,43541
100,8314,43548
223,8393,43549
241,8411,43629
289,8442,43693
311,8245,43717
205,8379,43719
312,8443,43739
313,8454,43788
314,8455,43795
205,8379,43796
241,8411,43827
314,8455,43871
309,8456,43904
315,8375,43967
313,8454,44020
316,8428,44112
317,8321,44130
64,8455,44185
318,8375,44195
306,8369,44225
319,8303,44233
317,8321,44259
319,8303,44307
309,8456,44345
320,8373,44389
321,8388,44444
205,8379,44509
309,8456,44513
316,8428,44535
322,8375,44563
205,8379,44593
313,8454,44645
323,8411,44651
323,8411,44713
305,8450,44731
269,8432,44800
324,8412,44811
274,8400,44825
309,8456,44856
274,8400,44886
325,8412,44941
274,8400,44959
309,8456,44980
274,8400,45095
326,8457,45116
309,8456,45122
317,8321,45155
40,8339,45170
309,8456,45190
327,8236,45198
69,8303,45208
328,8452,45271
309,8456,45282
179,8363,45357
329,8458,45372
305,8450,45405
329,8458,45405
196,8385,45406
317,8321,45407
330,8304,45408
329,8458,45439
331,8412,45450
321,8388,45451
179,8363,45466
179,8363,45512
328,8452,45523
332,8412,45593
320,8373,45607
179,8363,45609
58,8245,45625
328,8452,45644
277,8434,45691
69,8428,45738
267,8355,45757
267,8355,45807
326,8457,45812
179,8363,45821
302,8448,45857
302,8448,45911
179,8363,45960
328,8452,45998
330,8304,46029
333,8320,46031
317,8321,46050
330,8304,46054
334,8459,46069
335,8460,46087
179,8363,46142
336,8250,46154
337,8296,46238
277,8434,46317
338,8461,46337
277,8434,46349
179,8363,46365
277,8434,46374
338,8461,46406
338,8461,46432
338,8461,46445
339,8373,46487
302,8448,46516
338,8461,46537
326,8457,46542
305,8450,46568
302,8448,46586
338,8461,46609
336,8462,46643
179,8363,46663
211,8384,46672
338,8461,46682
277,8434,46682
11,8237,46684
272,8319,46739
336,8463,46747
277,8434,46771
11,8237,46812
336,8464,46820
291,8444,46832
238,8406,46838
340,8267,46854
335,8460,46863
329,8458,46874
179,8363,46879
341,8346,46901
277,8434,46932
11,8237,46938
305,8450,46941
278,8319,46958
196,8347,47021
278,8319,47027
336,8296,47037
341,8346,47064
238,8406,47089
342,8266,47099
336,8243,47138
179,8363,47154
343,8465,47249
343,8465,47278
307,8429,47294
238,8406,47296
179,8363,47321
307,8429,47329
155,8262,47344
152,8297,47380
341,8346,47386
238,8406,47394
238,8406,47420
179,8363,47435
305,8450,47503
344,8449,47517
238,8406,47530
302,8448,47542
238,8406,47563
341,8346,47574
302,8448,47626
302,8448,47759
302,8448,47808
345,8461,47812
336,8459,47812
341,8346,47813
335,8460,47824
205,8379,47869
169,8409,47871
335,8460,47889
179,8363,47942
328,8452,47961
346,8466,48015
238,8406,48017
152,8297,48043
179,8363,48109
347,8459,48123
238,8406,48150
179,8363,48218
305,8450,48231
302,8287,48304
179,8363,48351
274,8400,48355
291,8444,48356
179,8363,48462
348,8268,48476
169,8409,48486
349,8356,48486
238,8406,48487
274,8400,48535
341,8346,48542
238,8406,48564
179,8363,48566
289,8442,48588
238,8406,48616
205,8379,48662
205,8379,48733
289,8442,48771
350,8274,48886
205,8379,48890
205,8379,48935
351,8467,48939
348,8268,48939
335,8460,48953
205,8379,48964
352,8439,49010
205,8379,49043
346,8466,49054
19,8245,49058
353,8467,49064
354,8468,49065
335,8460,49079
341,8346,49086
355,8284,49090
356,8388,49105
205,8379,49129
353,8467,49132
205,8379,49174
311,8245,49176
307,8429,49226
205,8379,49255
335,8460,49283
205,8379,49347
152,8297,49354
274,8400,49358
