,start,end,days
1112,48,431,9
1113,48,424,20
1114,48,434,101
1115,48,437,85
1116,48,73,65
1117,48,1579,55
1118,48,429,50
1119,48,69,55
1120,48,134,37
1121,48,445,23
1122,48,1782,20
1123,48,1926,19
1124,48,348,21
1125,48,447,18
1126,48,510,55
1127,48,504,143
1128,48,440,85
1129,48,138,121
1130,48,453,21
1131,48,455,19
1132,48,432,140
1133,48,449,102
1134,48,451,101
1135,48,459,60
1136,48,460,58
1137,48,355,49
1138,48,408,52
1139,48,752,45
1140,48,516,38
1141,48,517,37
1142,48,45,45
1143,48,522,66
1144,48,135,41
1145,48,414,18
1146,48,546,48
1147,48,463,18
1148,48,466,15
1149,48,95,44
1150,48,52,3
1151,48,400,125
1152,48,456,121
1153,48,448,121
1154,48,1500,112
1155,48,1102,102
1156,48,626,102
1157,48,756,102
1158,48,472,102
1159,48,450,121
1160,48,999,77
1161,48,438,76
1162,48,415,63
1163,48,372,63
1164,48,473,62
1165,48,301,52
1166,48,507,52
1167,48,461,50
1168,48,514,47
1169,48,477,45
1170,48,441,38
1171,48,443,28
1172,48,2038,27
1173,48,478,26
1174,48,479,21
1175,48,480,20
1176,48,851,19
1177,48,483,19
1178,48,484,63
1179,48,395,16
1180,48,487,18
1181,48,558,11
1182,48,488,11
1183,48,489,9
1184,48,490,6
1185,48,143,5
1186,48,468,3
1187,48,412,21
1188,48,492,11
1189,48,493,2
1190,48,498,131
1191,48,54,127
1192,48,497,126
1193,48,435,121
1194,48,19,114
1195,48,499,114
1196,48,692,112
1197,48,500,108
1198,48,750,102
1199,48,436,102
1200,48,979,102
1201,48,7,102
1202,48,458,102
1203,48,737,102
1204,48,667,91
1205,48,503,87
1206,48,36,84
1207,48,506,67
1208,48,3365,66
1209,48,10,65
1210,48,508,63
1211,48,433,58
1212,48,511,55
1213,48,12,55
1214,48,406,51
1215,48,411,49
1216,48,512,49
1217,48,304,47
1218,48,82,47
1219,48,3366,45
1220,48,515,44
1221,48,268,44
1222,48,136,38
1223,48,341,37
1224,48,362,30
1225,48,462,27
1226,48,521,26
1227,48,444,26
1228,48,523,24
1229,48,525,22
1230,48,44,21
1231,48,527,21
1232,48,528,21
1233,48,3230,20
1234,48,529,20
1235,48,481,20
1236,48,482,19
1237,48,531,19
1238,48,532,19
1239,48,533,19
1240,48,530,19
1241,48,524,19
1242,48,534,19
1243,48,535,19
1244,48,536,19
1245,48,537,19
1246,48,413,19
1247,48,538,18
1248,48,392,18
1249,48,540,18
1250,48,541,18
1251,48,542,18
1252,48,543,18
1253,48,539,18
1254,48,544,18
1255,48,545,18
1256,48,547,17
1257,48,548,17
1258,48,549,17
1259,48,747,17
1260,48,485,16
1261,48,550,16
1262,48,551,16
1263,48,854,16
1264,48,552,16
1265,48,3367,16
1266,48,553,16
1267,48,554,15
1268,48,2544,15
1269,48,50,15
1270,48,555,15
1271,48,404,15
1272,48,556,15
1273,48,557,10
1274,48,559,8
1275,48,560,6
1276,48,1367,1
1277,48,42,143
1278,48,3089,21
1279,48,1453,143
1280,48,3283,66
1281,48,2495,66
1282,48,3057,61
1283,48,476,59
1284,48,475,52
1285,48,132,143
1286,561,737,85
1287,562,737,82
1288,563,737,75
1289,499,737,110
1290,564,737,82
1291,565,737,95
1292,566,737,120
1293,497,737,95
1294,567,737,85
1295,568,737,96
1296,61,737,96
1297,569,737,96
1298,570,737,88
1299,571,737,112
1300,572,737,99
1301,573,737,89
1302,574,737,89
1303,575,737,89
1304,576,737,89
1305,577,737,97
1306,578,737,93
1307,579,737,89
1308,580,737,88
1309,581,737,112
1310,582,737,88
1311,583,737,88
1312,114,737,88
1313,584,737,93
1314,585,737,120
1315,586,737,79
1316,587,737,88
1317,588,737,89
1318,122,737,95
1319,427,737,78
1320,589,737,89
1321,590,737,74
1322,591,737,69
1323,592,737,116
1324,190,737,96
1325,593,737,100
1326,594,737,90
1327,319,737,89
1328,503,737,97
1329,595,737,86
1330,596,737,86
1331,14,737,84
1332,348,737,94
1333,116,737,83
1334,49,737,79
1335,597,737,82
1336,598,737,86
1337,599,737,83
1338,600,737,78
1339,601,737,113
1340,39,737,98
1341,183,737,99
1342,602,737,96
1343,603,737,90
1344,604,737,89
1345,605,737,89
1346,606,737,89
1347,275,737,111
1348,607,737,89
1349,194,737,94
1350,608,737,89
1351,609,737,88
1352,610,737,88
1353,611,737,87
1354,612,737,89
1355,102,737,86
1356,613,737,86
1357,614,737,86
1358,401,737,87
1359,615,737,86
1360,616,737,86
1361,105,737,89
1362,546,737,86
1363,222,737,84
1364,617,737,84
1365,618,737,83
1366,619,737,88
1367,57,737,85
1368,243,737,80
1369,620,737,84
1370,621,737,84
1371,622,737,79
1372,623,737,85
1373,372,737,80
1374,624,737,87
1375,234,737,77
1376,112,737,125
1377,625,737,79
1378,449,737,89
1379,626,737,76
1380,502,737,69
1381,471,737,128
1382,627,737,112
1383,628,737,111
1384,184,737,112
1385,629,737,95
1386,630,737,92
1387,631,737,90
1388,58,737,89
1389,632,737,89
1390,633,737,89
1391,634,737,93
1392,635,737,89
1393,636,737,95
1394,637,737,88
1395,474,737,87
1396,216,737,87
1397,638,737,86
1398,639,737,85
1399,640,737,85
1400,106,737,84
1401,641,737,84
1402,642,737,86
1403,220,737,85
1404,643,737,83
1405,644,737,85
1406,496,737,111
1407,645,737,83
1408,440,737,83
1409,646,737,82
1410,647,737,82
1411,648,737,81
1412,649,737,81
1413,435,737,86
1414,650,737,81
1415,651,737,86
1416,652,737,80
1417,290,737,86
1418,653,737,79
1419,654,737,85
1420,655,737,78
1421,656,737,89
1422,657,737,78
1423,658,737,77
1424,659,737,77
1425,660,737,76
1426,661,737,76
1427,451,737,76
1428,258,737,75
1429,662,737,126
1430,78,737,133
1431,188,737,120
1432,19,737,120
1433,354,737,117
1434,663,737,112
1435,664,737,112
1436,665,737,112
1437,666,737,110
1438,667,737,107
1439,450,737,104
1440,21,737,103
1441,668,737,99
1442,274,737,98
1443,669,737,98
1444,670,737,98
1445,671,737,97
1446,173,737,97
1447,672,737,96
1448,411,737,96
1449,673,737,93
1450,674,737,91
1451,228,737,91
1452,675,737,91
1453,676,737,91
1454,677,737,90
1455,678,737,90
1456,679,737,89
1457,680,737,89
1458,206,737,89
1459,681,737,89
1460,682,737,89
1461,99,737,89
1462,683,737,89
1463,93,737,89
1464,684,737,89
1465,685,737,89
1466,686,737,89
1467,687,737,89
1468,688,737,88
1469,689,737,88
1470,690,737,88
1471,691,737,88
1472,692,737,88
1473,204,737,88
1474,549,737,87
1475,693,737,87
1476,694,737,86
1477,695,737,86
1478,696,737,86
1479,697,737,86
1480,104,737,86
1481,698,737,86
1482,699,737,85
1483,700,737,90
1484,701,737,84
1485,221,737,83
1486,702,737,83
1487,223,737,83
1488,52,737,83
1489,703,737,83
1490,704,737,83
1491,705,737,83
1492,706,737,83
1493,224,737,82
1494,707,737,82
1495,708,737,81
1496,422,737,80
1497,383,737,80
1498,161,737,80
1499,709,737,80
1500,253,737,80
1501,710,737,105
1502,711,737,79
1503,712,737,79
1504,713,737,79
1505,714,737,80
1506,505,737,78
1507,531,737,78
1508,715,737,78
1509,716,737,78
1510,717,737,78
1511,718,737,77
1512,719,737,77
1513,720,737,77
1514,721,737,77
1515,722,737,77
1516,135,737,77
1517,723,737,77
1518,724,737,77
1519,725,737,76
1520,726,737,76
1521,727,737,77
1522,728,737,76
1523,434,737,76
1524,729,737,76
1525,730,737,76
1526,42,737,76
1527,731,737,76
1528,402,737,76
1529,7,737,76
1530,242,737,75
1531,732,737,75
1532,733,737,74
1533,734,737,73
1534,735,737,69
1535,736,737,89
1536,737,499,98
1537,737,562,77
1538,737,567,85
1539,737,566,120
1540,737,116,88
1541,737,569,96
1542,737,565,95
1543,737,572,101
1544,737,575,89
1545,737,114,88
1546,737,585,120
1547,737,14,112
1548,737,61,96
1549,737,497,95
1550,737,588,89
1551,737,591,69
1552,737,502,69
1553,737,592,116
1554,737,593,90
1555,737,578,91
1556,737,581,112
1557,737,319,89
1558,737,503,97
1559,737,611,87
1560,737,595,86
1561,737,596,86
1562,737,617,84
1563,737,619,86
1564,737,564,83
1565,737,597,82
1566,737,586,79
1567,737,598,86
1568,737,599,83
1569,737,600,76
1570,737,122,83
1571,737,450,124
1572,737,183,99
1573,737,190,95
1574,737,605,89
1575,737,275,89
1576,737,577,97
1577,737,576,89
1578,737,632,89
1579,737,579,89
1580,737,194,94
1581,737,428,89
1582,737,594,89
1583,737,582,94
1584,737,474,87
1585,737,612,89
1586,737,614,86
1587,737,615,86
1588,737,561,85
1589,737,700,88
1590,737,105,89
1591,737,222,84
1592,737,348,86
1593,737,57,85
1594,737,253,80
1595,737,243,80
1596,737,3368,80
1597,737,620,84
1598,737,621,84
1599,737,570,78
1600,737,622,86
1601,737,656,89
1602,737,623,85
1603,737,372,80
1604,737,112,125
1605,737,449,89
1606,737,626,76
1607,737,627,112
1608,737,628,111
1609,737,184,112
1610,737,601,112
1611,737,191,99
1612,737,39,98
1613,737,629,95
1614,737,568,95
1615,737,1291,99
1616,737,630,90
1617,737,978,90
1618,737,603,90
1619,737,573,89
1620,737,683,89
1621,737,688,88
1622,737,580,88
1623,737,634,93
1624,737,609,88
1625,737,610,88
1626,737,637,88
1627,737,1235,86
1628,737,216,87
1629,737,546,86
1630,737,401,87
1631,737,639,85
1632,737,640,85
1633,737,641,84
1634,737,220,85
1635,737,643,83
1636,737,645,83
1637,737,440,83
1638,737,618,83
1639,737,1286,82
1640,737,649,81
1641,737,651,86
1642,737,712,79
1643,737,714,86
1644,737,505,78
1645,737,531,78
1646,737,715,78
1647,737,654,85
1648,737,655,78
1649,737,587,88
