,Unnamed: 0,start,end,time,days
123,123,19,58,2004-04-21 21:07:10,7
126,126,19,52,2004-04-21 21:13:08,7
127,127,83,59,2004-04-21 21:14:20,7
128,128,51,70,2004-04-21 21:14:37,7
129,129,38,58,2004-04-21 21:20:31,7
131,131,63,79,2004-04-21 21:41:25,7
133,133,67,59,2004-04-21 21:45:59,7
136,136,44,84,2004-04-21 22:07:46,7
137,137,19,85,2004-04-21 22:16:46,7
139,139,3,84,2004-04-21 22:30:42,7
140,140,19,8,2004-04-21 22:33:16,7
142,142,84,86,2004-04-21 22:43:53,7
143,143,83,58,2004-04-21 22:46:43,7
145,145,86,48,2004-04-21 22:50:31,7
146,146,87,63,2004-04-21 22:55:09,7
147,147,36,88,2004-04-21 22:58:09,7
148,148,87,8,2004-04-21 23:02:30,7
149,149,36,89,2004-04-21 23:09:43,7
150,150,90,56,2004-04-21 23:10:02,7
151,151,36,90,2004-04-21 23:10:59,7
152,152,36,84,2004-04-21 23:11:58,7
153,153,91,92,2004-04-21 23:12:55,7
154,154,36,93,2004-04-21 23:16:00,7
161,161,94,84,2004-04-21 23:35:04,7
165,165,69,84,2004-04-21 23:49:24,7
166,166,69,95,2004-04-21 23:49:55,7
170,170,48,86,2004-04-22 00:13:37,7
171,171,84,8,2004-04-22 00:31:27,7
172,172,91,81,2004-04-22 00:47:02,7
173,173,96,88,2004-04-22 00:49:55,7
174,174,8,84,2004-04-22 01:06:13,7
176,176,91,47,2004-04-22 01:26:13,7
177,177,97,98,2004-04-22 01:37:02,7
178,178,98,97,2004-04-22 01:39:36,7
180,180,48,97,2004-04-22 01:42:00,7
181,181,99,8,2004-04-22 01:47:12,7
183,183,97,48,2004-04-22 01:49:36,7
184,184,100,101,2004-04-22 01:53:13,7
185,185,102,97,2004-04-22 01:54:49,7
187,187,97,102,2004-04-22 02:00:11,7
188,188,101,100,2004-04-22 02:06:13,7
189,189,48,58,2004-04-22 02:07:14,7
191,191,103,72,2004-04-22 02:58:04,7
192,192,103,58,2004-04-22 03:04:05,7
193,193,104,59,2004-04-22 03:39:48,7
196,196,105,56,2004-04-22 08:05:16,8
197,197,106,72,2004-04-22 08:08:03,8
198,198,105,61,2004-04-22 08:12:46,8
199,199,105,8,2004-04-22 08:14:11,8
200,200,105,33,2004-04-22 08:21:43,8
201,201,105,107,2004-04-22 08:26:57,8
202,202,105,81,2004-04-22 08:34:10,8
203,203,44,102,2004-04-22 08:47:51,8
204,204,36,105,2004-04-22 09:41:57,8
205,205,36,104,2004-04-22 09:51:35,8
206,206,34,108,2004-04-22 09:56:19,8
207,207,34,109,2004-04-22 10:05:43,8
208,208,36,110,2004-04-22 10:09:00,8
209,209,111,112,2004-04-22 10:19:13,8
210,210,34,58,2004-04-22 10:34:21,8
211,211,36,113,2004-04-22 10:38:36,8
212,212,36,109,2004-04-22 10:39:00,8
213,213,79,109,2004-04-22 10:51:47,8
214,214,114,105,2004-04-22 10:54:36,8
215,215,101,115,2004-04-22 10:56:13,8
216,216,56,90,2004-04-22 11:09:35,8
217,217,56,105,2004-04-22 11:10:09,8
218,218,56,68,2004-04-22 11:10:51,8
219,219,29,58,2004-04-22 11:32:50,8
220,220,87,58,2004-04-22 11:36:50,8
221,221,44,116,2004-04-22 11:45:06,8
222,222,44,117,2004-04-22 11:54:40,8
224,224,44,79,2004-04-22 12:03:59,8
225,225,80,58,2004-04-22 12:10:59,8
226,226,96,32,2004-04-22 12:30:30,8
227,227,118,100,2004-04-22 12:45:52,8
228,228,119,120,2004-04-22 12:51:28,8
230,230,120,119,2004-04-22 12:52:55,8
231,231,120,75,2004-04-22 12:54:10,8
234,234,119,58,2004-04-22 12:57:28,8
235,235,74,73,2004-04-22 13:03:21,8
236,236,118,120,2004-04-22 13:13:16,8
237,237,121,108,2004-04-22 13:21:26,8
238,238,72,106,2004-04-22 13:25:10,8
239,239,44,92,2004-04-22 13:38:51,8
240,240,26,122,2004-04-22 13:45:46,8
242,242,1,123,2004-04-22 14:23:42,8
243,243,96,124,2004-04-22 14:44:06,8
244,244,125,126,2004-04-22 14:45:32,8
248,248,36,124,2004-04-22 15:43:18,8
249,249,36,127,2004-04-22 15:53:48,8
250,250,36,128,2004-04-22 15:54:39,8
252,252,44,129,2004-04-22 16:00:26,8
254,254,9,120,2004-04-22 16:05:32,8
255,255,79,58,2004-04-22 16:12:11,8
257,257,124,109,2004-04-22 16:32:54,8
259,259,124,61,2004-04-22 16:37:02,8
260,260,124,72,2004-04-22 16:40:24,8
262,262,36,112,2004-04-22 16:54:28,8
263,263,124,85,2004-04-22 16:58:31,8
264,264,85,124,2004-04-22 17:00:25,8
265,265,32,130,2004-04-22 17:01:31,8
268,268,72,124,2004-04-22 17:17:36,8
269,269,124,8,2004-04-22 17:21:53,8
270,270,131,30,2004-04-22 17:27:21,8
271,271,99,126,2004-04-22 17:40:25,8
272,272,103,72,2004-04-22 17:46:44,8
274,274,103,63,2004-04-22 17:57:22,8
275,275,103,117,2004-04-22 17:58:59,8
278,278,69,95,2004-04-22 18:49:46,8
279,279,69,124,2004-04-22 18:50:04,8
280,280,69,79,2004-04-22 18:50:15,8
281,281,132,30,2004-04-22 18:50:34,8
282,282,36,99,2004-04-22 18:56:07,8
283,283,36,133,2004-04-22 18:56:52,8
284,284,36,60,2004-04-22 18:57:34,8
285,285,36,134,2004-04-22 19:00:56,8
287,287,36,81,2004-04-22 19:04:42,8
289,289,103,135,2004-04-22 19:13:00,8
290,290,133,135,2004-04-22 19:14:24,8
291,291,135,133,2004-04-22 19:15:05,8
294,294,19,52,2004-04-22 19:19:10,8
303,303,9,109,2004-04-22 20:17:52,8
305,305,62,136,2004-04-22 20:51:04,8
307,307,137,138,2004-04-22 21:17:37,8
308,308,96,137,2004-04-22 21:20:56,8
309,309,19,120,2004-04-22 21:24:19,8
310,310,44,90,2004-04-22 21:24:30,8
313,313,19,139,2004-04-22 21:31:43,8
314,314,44,60,2004-04-22 21:40:54,8
315,315,44,88,2004-04-22 21:42:26,8
318,318,19,111,2004-04-22 21:44:39,8
320,320,9,32,2004-04-22 21:48:29,8
325,325,38,86,2004-04-22 21:59:00,8
326,326,140,105,2004-04-22 21:59:37,8
329,329,38,101,2004-04-22 22:19:26,8
332,332,103,101,2004-04-22 22:34:18,8
335,335,38,61,2004-04-22 22:52:13,8
336,336,75,120,2004-04-22 22:52:17,8
337,337,38,81,2004-04-22 22:54:04,8
338,338,44,141,2004-04-22 22:56:26,8
340,340,44,74,2004-04-22 23:05:57,8
341,341,44,127,2004-04-22 23:08:04,8
342,342,124,135,2004-04-22 23:44:07,8
343,343,140,124,2004-04-22 23:50:12,8
344,344,19,82,2004-04-22 23:51:44,8
350,350,105,58,2004-04-23 00:05:15,8
351,351,105,63,2004-04-23 00:05:29,8
354,354,105,135,2004-04-23 00:09:55,8
356,356,71,72,2004-04-23 00:30:14,8
357,357,135,124,2004-04-23 00:34:06,8
359,359,63,105,2004-04-23 00:36:47,8
360,360,72,71,2004-04-23 00:40:42,8
361,361,142,58,2004-04-23 00:42:24,8
364,364,143,32,2004-04-23 00:49:32,8
365,365,144,99,2004-04-23 00:54:41,8
366,366,144,105,2004-04-23 00:57:02,8
367,367,144,121,2004-04-23 00:59:16,8
369,369,103,109,2004-04-23 01:21:23,8
373,373,48,81,2004-04-23 01:38:37,8
374,374,95,81,2004-04-23 01:41:39,8
375,375,145,48,2004-04-23 01:42:21,8
376,376,95,63,2004-04-23 01:42:31,8
377,377,145,95,2004-04-23 01:44:41,8
378,378,95,109,2004-04-23 01:44:45,8
385,385,96,48,2004-04-23 02:02:19,8
387,387,96,95,2004-04-23 02:09:00,8
391,391,105,144,2004-04-23 02:35:54,8
393,393,6,146,2004-04-23 02:50:36,8
394,394,44,60,2004-04-23 08:33:23,9
395,395,44,105,2004-04-23 08:34:05,9
396,396,63,95,2004-04-23 08:41:08,9
397,397,44,32,2004-04-23 09:15:10,9
398,398,114,105,2004-04-23 09:38:01,9
399,399,34,109,2004-04-23 09:40:59,9
400,400,36,105,2004-04-23 09:43:35,9
401,401,36,109,2004-04-23 09:44:53,9
402,402,36,147,2004-04-23 09:53:05,9
404,404,19,120,2004-04-23 10:19:19,9
405,405,9,136,2004-04-23 10:37:31,9
406,406,9,148,2004-04-23 10:37:51,9
407,407,9,149,2004-04-23 10:38:49,9
408,408,9,150,2004-04-23 10:39:36,9
409,409,9,151,2004-04-23 10:41:02,9
410,410,9,152,2004-04-23 10:42:34,9
411,411,9,153,2004-04-23 10:42:54,9
412,412,9,58,2004-04-23 10:43:11,9
414,414,9,135,2004-04-23 10:43:43,9
415,415,9,22,2004-04-23 10:44:04,9
416,416,9,8,2004-04-23 10:45:42,9
417,417,9,154,2004-04-23 10:47:17,9
418,418,9,121,2004-04-23 10:49:17,9
419,419,1,135,2004-04-23 10:59:53,9
420,420,3,155,2004-04-23 11:03:57,9
423,423,30,132,2004-04-23 11:14:44,9
424,424,3,58,2004-04-23 11:23:21,9
425,425,68,56,2004-04-23 11:52:45,9
426,426,36,156,2004-04-23 12:44:30,9
427,427,131,30,2004-04-23 12:58:54,9
428,428,101,51,2004-04-23 13:15:16,9
429,429,101,34,2004-04-23 13:19:05,9
431,431,36,73,2004-04-23 13:40:11,9
432,432,96,95,2004-04-23 13:51:21,9
433,433,9,76,2004-04-23 14:10:26,9
435,435,9,157,2004-04-23 14:28:18,9
436,436,19,158,2004-04-23 14:38:40,9
438,438,9,32,2004-04-23 14:46:46,9
439,439,44,129,2004-04-23 15:57:38,9
440,440,105,135,2004-04-23 15:57:59,9
441,441,105,129,2004-04-23 15:59:15,9
445,445,51,101,2004-04-23 16:05:29,9
446,446,1,159,2004-04-23 16:06:05,9
447,447,44,74,2004-04-23 16:31:02,9
449,449,160,72,2004-04-23 17:08:19,9
450,450,129,8,2004-04-23 17:22:28,9
454,454,36,129,2004-04-23 17:30:29,9
456,456,34,101,2004-04-23 18:33:40,9
457,457,161,162,2004-04-23 18:52:14,9
458,458,163,72,2004-04-23 19:15:26,9
459,459,32,164,2004-04-23 19:31:45,9
460,460,58,8,2004-04-23 19:44:12,9
461,461,32,58,2004-04-23 19:47:03,9
462,462,41,76,2004-04-23 19:52:44,9
463,463,41,120,2004-04-23 19:53:56,9
464,464,41,132,2004-04-23 19:54:32,9
465,465,41,165,2004-04-23 19:55:10,9
466,466,41,166,2004-04-23 19:55:45,9
467,467,41,157,2004-04-23 19:56:04,9
468,468,41,167,2004-04-23 19:56:50,9
469,469,41,168,2004-04-23 19:57:12,9
470,470,41,169,2004-04-23 19:57:28,9
471,471,41,134,2004-04-23 19:57:58,9
472,472,56,68,2004-04-23 19:59:28,9
473,473,41,56,2004-04-23 19:59:53,9
474,474,56,154,2004-04-23 20:00:21,9
475,475,56,170,2004-04-23 20:01:36,9
476,476,56,171,2004-04-23 20:01:54,9
477,477,56,172,2004-04-23 20:02:06,9
478,478,103,101,2004-04-23 20:07:40,9
479,479,51,157,2004-04-23 20:09:25,9
480,480,32,130,2004-04-23 20:11:48,9
481,481,8,58,2004-04-23 20:22:22,9
482,482,8,164,2004-04-23 20:23:55,9
483,483,103,63,2004-04-23 20:36:22,9
484,484,103,173,2004-04-23 20:39:11,9
485,485,67,154,2004-04-23 20:45:41,9
486,486,32,26,2004-04-23 20:54:01,9
487,487,96,163,2004-04-23 21:16:01,9
490,490,9,20,2004-04-23 21:28:22,9
491,491,9,165,2004-04-23 21:29:03,9
492,492,9,61,2004-04-23 21:31:44,9
493,493,103,109,2004-04-23 21:45:32,9
494,494,32,155,2004-04-23 21:47:33,9
495,495,32,109,2004-04-23 21:48:37,9
496,496,32,174,2004-04-23 21:49:54,9
497,497,175,50,2004-04-23 21:50:21,9
498,498,103,85,2004-04-23 21:58:22,9
499,499,124,109,2004-04-23 21:59:53,9
500,500,164,8,2004-04-23 22:02:52,9
502,502,38,128,2004-04-23 22:14:47,9
505,505,19,109,2004-04-23 22:16:57,9
508,508,161,164,2004-04-23 22:19:26,9
510,510,38,109,2004-04-23 22:20:16,9
511,511,41,63,2004-04-23 22:20:48,9
513,513,176,63,2004-04-23 22:22:36,9
517,517,161,63,2004-04-23 22:25:05,9
531,531,41,177,2004-04-23 22:29:30,9
533,533,164,178,2004-04-23 22:29:56,9
534,534,164,177,2004-04-23 22:30:13,9
535,535,32,175,2004-04-23 22:30:25,9
536,536,32,177,2004-04-23 22:30:41,9
538,538,164,179,2004-04-23 22:31:08,9
540,540,32,179,2004-04-23 22:32:00,9
546,546,96,164,2004-04-23 22:38:04,9
559,559,41,180,2004-04-23 22:46:11,9
565,565,177,32,2004-04-23 22:50:33,9
568,568,180,177,2004-04-23 22:51:34,9
570,570,180,181,2004-04-23 22:52:50,9
572,572,180,182,2004-04-23 22:53:44,9
574,574,41,90,2004-04-23 22:55:27,9
580,580,177,180,2004-04-23 22:59:18,9
588,588,183,184,2004-04-23 23:04:41,9
594,594,175,32,2004-04-23 23:11:23,9
602,602,63,174,2004-04-23 23:17:59,9
603,603,174,63,2004-04-23 23:18:17,9
622,622,63,155,2004-04-23 23:25:37,9
657,657,41,185,2004-04-23 23:59:11,9
659,659,185,147,2004-04-24 00:02:06,9
660,660,185,32,2004-04-24 00:04:53,9
663,663,32,185,2004-04-24 00:08:37,9
664,664,186,185,2004-04-24 00:08:46,9
665,665,140,185,2004-04-24 00:08:54,9
666,666,155,32,2004-04-24 00:08:55,9
668,668,185,186,2004-04-24 00:09:51,9
669,669,155,63,2004-04-24 00:10:49,9
671,671,103,177,2004-04-24 00:13:29,9
672,672,187,186,2004-04-24 00:15:53,9
673,673,185,97,2004-04-24 00:17:22,9
674,674,103,97,2004-04-24 00:17:57,9
678,678,41,186,2004-04-24 00:20:48,9
681,681,185,63,2004-04-24 00:25:06,9
685,685,63,185,2004-04-24 00:28:42,9
686,686,103,58,2004-04-24 00:30:18,9
689,689,103,188,2004-04-24 00:35:36,9
690,690,189,175,2004-04-24 00:35:44,9
694,694,185,109,2004-04-24 00:38:33,9
696,696,189,8,2004-04-24 00:52:36,9
697,697,102,97,2004-04-24 00:52:39,9
699,699,41,86,2004-04-24 00:57:21,9
700,700,41,188,2004-04-24 01:02:04,9
701,701,101,100,2004-04-24 01:14:01,9
702,702,101,190,2004-04-24 01:24:20,9
703,703,191,175,2004-04-24 01:24:38,9
708,708,103,192,2004-04-24 01:27:33,9
717,717,193,149,2004-04-24 01:31:56,9
719,719,193,190,2004-04-24 01:32:48,9
720,720,191,78,2004-04-24 01:33:23,9
723,723,190,109,2004-04-24 01:34:53,9
726,726,109,124,2004-04-24 01:40:30,9
728,728,103,190,2004-04-24 01:41:55,9
731,731,41,192,2004-04-24 01:59:49,9
732,732,194,149,2004-04-24 02:18:49,9
733,733,194,195,2004-04-24 02:26:34,9
734,734,176,20,2004-04-24 02:55:59,9
735,735,176,61,2004-04-24 02:56:04,9
736,736,176,149,2004-04-24 02:56:20,9
737,737,176,120,2004-04-24 02:56:25,9
738,738,176,132,2004-04-24 02:56:30,9
739,739,176,86,2004-04-24 02:56:39,9
740,740,176,97,2004-04-24 02:57:03,9
741,741,176,72,2004-04-24 02:57:27,9
742,742,176,58,2004-04-24 02:57:31,9
743,743,176,8,2004-04-24 02:57:36,9
744,744,176,196,2004-04-24 03:00:59,9
745,745,176,197,2004-04-24 03:01:07,9
746,746,176,198,2004-04-24 03:01:11,9
747,747,176,199,2004-04-24 03:01:20,9
748,748,176,200,2004-04-24 03:01:24,9
749,749,176,190,2004-04-24 03:01:28,9
750,750,176,192,2004-04-24 03:01:33,9
751,751,176,201,2004-04-24 03:01:37,9
752,752,176,188,2004-04-24 03:01:41,9
753,753,176,202,2004-04-24 03:01:48,9
754,754,176,185,2004-04-24 03:01:53,9
755,755,176,203,2004-04-24 03:01:58,9
756,756,176,180,2004-04-24 03:02:11,9
757,757,176,181,2004-04-24 03:02:20,9
758,758,176,177,2004-04-24 03:02:25,9
759,759,176,184,2004-04-24 03:02:33,9
760,760,176,175,2004-04-24 03:02:40,9
761,761,176,166,2004-04-24 03:15:12,9
762,762,204,205,2004-04-24 04:35:13,9
763,763,204,104,2004-04-24 04:35:53,9
764,764,204,184,2004-04-24 04:40:36,9
765,765,189,144,2004-04-24 04:49:48,9
766,766,3,185,2004-04-24 09:49:44,10
767,767,3,32,2004-04-24 10:02:42,10
768,768,199,58,2004-04-24 10:04:47,10
769,769,63,185,2004-04-24 10:09:44,10
770,770,63,199,2004-04-24 10:12:25,10
771,771,63,184,2004-04-24 10:13:12,10
772,772,199,101,2004-04-24 10:17:55,10
773,773,194,199,2004-04-24 10:41:12,10
774,774,194,206,2004-04-24 10:42:46,10
775,775,194,207,2004-04-24 10:43:45,10
776,776,204,123,2004-04-24 10:47:07,10
777,777,121,191,2004-04-24 10:49:37,10
778,778,175,191,2004-04-24 10:50:04,10
779,779,204,129,2004-04-24 10:50:25,10
781,781,101,184,2004-04-24 10:51:17,10
782,782,101,208,2004-04-24 10:53:00,10
783,783,63,46,2004-04-24 10:54:17,10
785,785,101,88,2004-04-24 11:20:56,10
786,786,191,121,2004-04-24 11:32:39,10
787,787,191,175,2004-04-24 11:32:52,10
788,788,103,177,2004-04-24 11:34:21,10
789,789,199,20,2004-04-24 11:36:03,10
790,790,184,101,2004-04-24 11:37:02,10
791,791,103,132,2004-04-24 11:37:50,10
792,792,199,209,2004-04-24 11:42:01,10
794,794,36,105,2004-04-24 11:50:06,10
795,795,103,210,2004-04-24 11:50:59,10
796,796,36,209,2004-04-24 11:52:31,10
798,798,209,199,2004-04-24 12:03:02,10
800,800,199,210,2004-04-24 12:09:23,10
803,803,176,101,2004-04-24 13:02:17,10
804,804,68,101,2004-04-24 13:09:00,10
805,805,32,198,2004-04-24 13:22:20,10
806,806,211,101,2004-04-24 13:45:58,10
807,807,212,209,2004-04-24 13:46:06,10
808,808,211,213,2004-04-24 13:50:02,10
809,809,211,93,2004-04-24 13:50:25,10
810,810,211,85,2004-04-24 13:51:12,10
811,811,189,199,2004-04-24 13:56:38,10
812,812,214,215,2004-04-24 14:11:09,10
813,813,103,109,2004-04-24 14:11:49,10
814,814,103,215,2004-04-24 14:12:32,10
815,815,103,82,2004-04-24 14:12:53,10
816,816,44,214,2004-04-24 14:13:13,10
822,822,103,168,2004-04-24 14:20:28,10
823,823,214,109,2004-04-24 14:20:43,10
824,824,215,67,2004-04-24 14:21:43,10
827,827,41,215,2004-04-24 14:22:24,10
828,828,41,216,2004-04-24 14:22:45,10
829,829,103,127,2004-04-24 14:24:02,10
830,830,215,62,2004-04-24 14:26:47,10
832,832,176,217,2004-04-24 14:30:17,10
833,833,176,216,2004-04-24 14:30:39,10
834,834,176,218,2004-04-24 14:33:18,10
836,836,219,124,2004-04-24 14:40:49,10
837,837,19,109,2004-04-24 14:42:56,10
838,838,63,127,2004-04-24 14:49:44,10
839,839,88,101,2004-04-24 14:51:53,10
841,841,103,56,2004-04-24 14:58:02,10
844,844,214,56,2004-04-24 15:00:33,10
847,847,51,215,2004-04-24 15:06:45,10
848,848,19,175,2004-04-24 15:11:22,10
851,851,215,51,2004-04-24 15:13:47,10
853,853,19,215,2004-04-24 15:19:00,10
855,855,103,175,2004-04-24 15:26:40,10
859,859,214,175,2004-04-24 15:33:49,10
865,865,96,95,2004-04-24 15:42:36,10
866,866,96,32,2004-04-24 15:44:03,10
868,868,96,164,2004-04-24 15:44:30,10
872,872,144,185,2004-04-24 15:51:59,10
874,874,220,214,2004-04-24 15:53:46,10
875,875,220,32,2004-04-24 15:55:27,10
877,877,144,32,2004-04-24 15:57:17,10
880,880,175,214,2004-04-24 16:02:41,10
884,884,176,221,2004-04-24 16:15:02,10
885,885,103,98,2004-04-24 16:23:37,10
887,887,222,120,2004-04-24 16:34:26,10
888,888,41,222,2004-04-24 16:34:52,10
890,890,41,223,2004-04-24 16:51:49,10
892,892,41,97,2004-04-24 16:57:29,10
893,893,41,134,2004-04-24 16:59:56,10
895,895,36,222,2004-04-24 17:02:07,10
896,896,36,221,2004-04-24 17:03:09,10
897,897,212,66,2004-04-24 17:06:19,10
898,898,96,224,2004-04-24 17:10:59,10
901,901,225,223,2004-04-24 17:24:12,10
903,903,36,214,2004-04-24 17:25:25,10
904,904,176,223,2004-04-24 17:25:48,10
905,905,176,226,2004-04-24 17:26:01,10
906,906,221,161,2004-04-24 17:26:19,10
908,908,44,226,2004-04-24 17:30:39,10
912,912,56,214,2004-04-24 17:42:14,10
916,916,161,221,2004-04-24 17:55:39,10
920,920,204,221,2004-04-24 18:10:50,10
921,921,227,26,2004-04-24 18:13:01,10
922,922,211,228,2004-04-24 18:24:54,10
923,923,214,101,2004-04-24 18:36:07,10
924,924,229,230,2004-04-24 18:49:36,10
926,926,96,231,2004-04-24 18:56:00,10
927,927,96,232,2004-04-24 18:57:01,10
928,928,103,221,2004-04-24 18:58:15,10
929,929,103,20,2004-04-24 19:03:36,10
930,930,103,86,2004-04-24 19:04:38,10
933,933,103,66,2004-04-24 19:13:21,10
935,935,124,109,2004-04-24 19:23:11,10
936,936,103,185,2004-04-24 19:28:27,10
937,937,212,6,2004-04-24 19:32:12,10
939,939,103,8,2004-04-24 19:37:54,10
940,940,63,202,2004-04-24 19:39:08,10
942,942,103,93,2004-04-24 19:45:21,10
944,944,9,233,2004-04-24 20:18:32,10
945,945,103,233,2004-04-24 20:19:41,10
946,946,9,97,2004-04-24 20:23:47,10
947,947,9,190,2004-04-24 20:25:36,10
948,948,166,234,2004-04-24 20:50:16,10
949,949,69,34,2004-04-24 20:52:04,10
951,951,235,191,2004-04-24 20:53:12,10
952,952,69,185,2004-04-24 20:57:03,10
953,953,41,166,2004-04-24 21:17:41,10
954,954,41,32,2004-04-24 21:18:44,10
956,956,3,132,2004-04-24 21:33:23,10
957,957,1,30,2004-04-24 21:39:25,10
959,959,41,173,2004-04-24 21:47:46,10
960,960,103,166,2004-04-24 22:00:39,10
964,964,63,92,2004-04-24 22:27:53,10
965,965,97,228,2004-04-24 22:36:45,10
967,967,103,58,2004-04-24 23:08:55,10
968,968,191,136,2004-04-24 23:20:08,10
969,969,32,58,2004-04-24 23:27:40,10
970,970,131,30,2004-04-24 23:41:43,10
971,971,191,236,2004-04-24 23:42:08,10
972,972,32,237,2004-04-24 23:45:09,10
973,973,9,235,2004-04-24 23:46:51,10
974,974,101,34,2004-04-24 23:47:36,10
975,975,237,32,2004-04-24 23:47:57,10
976,976,97,191,2004-04-24 23:48:13,10
977,977,48,81,2004-04-24 23:49:22,10
980,980,176,233,2004-04-24 23:58:26,10
981,981,9,101,2004-04-24 23:58:40,10
982,982,48,52,2004-04-25 00:03:29,10
984,984,48,175,2004-04-25 00:03:55,10
985,985,52,48,2004-04-25 00:04:44,10
987,987,9,177,2004-04-25 00:09:50,10
989,989,9,175,2004-04-25 00:10:44,10
991,991,175,48,2004-04-25 00:12:13,10
992,992,96,48,2004-04-25 00:14:39,10
995,995,41,174,2004-04-25 00:17:30,10
998,998,12,175,2004-04-25 00:31:39,10
1003,1003,12,168,2004-04-25 00:35:02,10
